DLC,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,ATTACK_TYPE
8,16,80,0,ff,24,80,0e,3f,Normal
8,e9,7f,0,0,3f,7f,0e,bc,Normal
8,0,0,0,0,8,21,2e,1e,Normal
8,0f,80,0,ff,1d,80,0f,bf,Normal
8,e5,7f,0,0,45,7f,0f,5d,Normal
8,0a,80,0,ff,1,80,0,22,Normal
8,0b,80,0,ff,f5,7f,1,ad,Normal
8,5,80,0,0,4b,7f,1,eb,Normal
8,0a,80,0,ff,2,80,2,94,Normal
8,fb,7f,0,0,42,7f,2,ee,Normal
8,1c,25,26,30,8,8f,71,8,Normal
8,8,80,0,ff,0f,80,3,b6,Normal
8,f2,7f,0,0,3e,7f,3,3e,Normal
8,1c,25,26,30,8,8f,71,19,Normal
8,7,80,0,ff,0b,80,4,bf,Normal
8,fb,7f,0,0,40,7f,4,a3,Normal
8,0,0,0,0,2,20,24,8f,Normal
8,1c,25,26,30,8,8f,71,2a,Normal
8,9,80,0,ff,fe,7f,5,e3,Normal
8,9,80,0,0,44,7f,5,a2,Normal
8,0,0,0,0,4,0,25,e2,Normal
8,12,80,0,ff,f7,7f,6,cb,Normal
8,20,80,0,0,44,7f,6,65,Normal
8,0,0,0,0,2,12,26,ec,Normal
8,17,80,0,ff,0,80,7,a1,Normal
8,17,80,0,0,3a,7f,7,61,Normal
8,0,0,0,0,4,0f,27,7b,Normal
8,17,80,0,ff,0e,80,8,13,Normal
8,0,80,0,0,2d,7f,8,7f,Normal
8,0,0,0,0,6,2,28,f8,Normal
8,12,80,0,ff,0d,80,9,b6,Normal
8,ee,7f,0,0,34,7f,9,e1,Normal
8,0,0,0,0,8,5,29,15,Normal
8,0d,80,0,ff,9,80,0a,72,Normal
8,e9,7f,0,0,4e,7f,0a,0f,Normal
8,0b,80,0,ff,19,80,0b,a4,Normal
8,f7,7f,0,0,59,7f,0b,38,Normal
8,13,80,0,ff,37,80,0c,a5,Normal
8,1b,80,0,ff,3c,80,0d,ea,Normal
8,25,80,0,0,34,7f,0d,d6,Normal
8,0,0,0,0,10,2,2d,8c,Normal
8,17,80,0,0,2a,7f,0e,8c,Normal
8,0,0,0,0,12,0f,2e,93,Normal
8,21,80,0,ff,0c,80,0f,46,Normal
8,fb,7f,0,0,2b,7f,0f,bc,Normal
8,0,0,0,0,14,13,2f,48,Normal
8,1e,80,0,ff,12,80,0,66,Normal
8,f7,7f,0,0,36,7f,0,21,Normal
8,0,0,0,0,16,3,20,44,Normal
8,1d,80,0,ff,19,80,1,1c,Normal
8,fb,7f,0,0,40,7f,1,ca,Normal
8,0,0,0,0,18,8,21,de,Normal
8,16,80,0,ff,2,80,3,8b,Normal
8,f2,7f,0,0,54,7f,3,61,Normal
8,1c,25,26,30,8,8f,70,1a,Normal
8,1c,25,26,30,8,8f,70,2b,Normal
8,19,80,0,ff,0c,80,5,90,Normal
8,0e,80,0,0,4d,7f,5,af,Normal
8,1c,25,26,30,8,8f,70,3c,Normal
8,1b,80,0,ff,5,80,6,8e,Normal
8,1c,25,26,30,8,8f,70,9,Normal
8,1a,80,0,ff,f4,7f,7,88,Normal
8,18,80,0,ff,f0,7f,8,8f,Normal
8,f7,7f,0,0,2a,7f,8,db,Normal
8,13,80,0,ff,fb,7f,9,27,Normal
8,e9,7f,0,0,2a,7f,9,7e,Normal
8,0b,80,0,ff,0c,80,0a,28,Normal
8,e5,7f,0,0,2d,7f,0a,68,Normal
8,5,26,28,0a,26,21,0,6f,Normal
8,8,80,0,ff,0f,80,0b,5e,Normal
8,ee,7f,0,0,34,7f,0b,db,Normal
8,0,0,0,0,8,28,2b,61,Normal
8,5,26,2c,0a,26,21,0,6f,Normal
8,8,80,0,ff,8,80,0c,87,Normal
8,0d,80,0,ff,5,80,0d,2b,Normal
8,15,80,0,ff,0c,80,0e,e4,Normal
8,20,80,0,0,31,7f,0e,4c,Normal
8,0,40,60,ff,7e,96,9,0,Normal
8,ff,0,0,0,ff,96,9,0,Normal
8,19,80,0,ff,9,80,0f,cb,Normal
8,17,80,0,0,1d,7f,0f,33,Normal
8,0,0,0,0,10,33,2f,3b,Normal
8,1a,80,0,ff,fa,7f,0,d2,Normal
8,0,80,0,0,9,7f,0,a1,Normal
8,0,0,0,0,12,23,20,37,Normal
8,5,26,28,0a,26,21,0,6f,Normal
8,17,80,0,ff,fc,7f,1,2c,Normal
8,ee,7f,0,0,0f,7f,1,a1,Normal
8,0,0,0,0,14,22,21,63,Normal
8,11,80,0,ff,1b,80,2,83,Normal
8,e9,7f,0,0,26,7f,2,bb,Normal
8,0,0,0,0,16,22,22,47,Normal
8,12,80,0,ff,35,80,3,40,Normal
8,0,0,0,0,18,27,23,32,Normal
8,19,80,0,ff,2d,80,4,32,Normal
8,17,80,0,0,3f,7f,4,cf,Normal
8,1e,80,0,ff,10,80,5,0c,Normal
8,17,80,0,0,42,7f,5,1f,Normal
8,1e,80,0,ff,f8,7f,6,f6,Normal
8,0,80,0,0,41,7f,6,83,Normal
8,1d,80,0,ff,5,80,7,40,Normal
8,1f,80,0,ff,1d,80,8,55,Normal
8,9,80,0,0,18,7f,8,51,Normal
8,5,20,14,68,75,0,0,2c,Normal
8,22,80,0,ff,21,80,9,5a,Normal
8,0e,80,0,0,0f,7f,9,50,Normal
8,20,80,0,ff,1a,80,0a,6f,Normal
8,0,0,0,0,8,29,2a,30,Normal
8,1b,80,0,ff,1a,80,0b,91,Normal
8,ee,7f,0,0,16,7f,0b,e8,Normal
8,16,80,0,ff,1d,80,0c,ae,Normal
8,e9,7f,0,0,20,7f,0c,18,Normal
8,13,80,0,ff,19,80,0d,81,Normal
8,f7,7f,0,0,2e,7f,0d,b4,Normal
8,17,80,0,ff,9,80,0e,d7,Normal
8,0e,80,0,0,46,7f,0e,e0,Normal
8,0,0,0,0,10,0b,2e,bd,Normal
8,5,26,34,0a,26,21,0,6f,Normal
8,1a,80,0,ff,0b,80,0f,2f,Normal
8,0,0,0,0,12,25,2f,39,Normal
8,5,25,34,0a,25,21,0,6f,Normal
8,1e,80,0,ff,26,80,0,48,Normal
8,0e,80,0,0,4d,7f,0,c6,Normal
8,0,0,0,0,14,20,20,e6,Normal
8,1f,80,0,ff,3b,80,1,95,Normal
8,9,80,0,0,3a,7f,1,97,Normal
8,0,0,0,0,16,20,21,f8,Normal
8,20,80,0,ff,33,80,2,34,Normal
8,0,0,0,0,18,0,22,a3,Normal
8,5,25,30,0a,25,21,0,6f,Normal
8,d8,63,0,84,0,0,0,0,Normal
8,1d,80,0,ff,1f,80,3,23,Normal
8,5,26,30,0a,26,21,0,6f,Normal
8,19,80,0,ff,12,80,4,9c,Normal
8,1c,26,26,30,8,8f,6f,2a,Normal
8,19,80,0,ff,19,80,5,1,Normal
8,0,80,0,0,2b,7f,5,fb,Normal
8,1c,26,26,30,8,8f,6f,3b,Normal
8,19,80,0,ff,1c,80,6,af,Normal
8,1c,26,26,30,8,8f,6f,8,Normal
8,16,80,0,ff,0f,80,7,7a,Normal
8,f2,7f,0,0,4b,7f,7,8b,Normal
8,1c,26,26,30,8,8f,6f,19,Normal
8,60,84,30,0a,0,1f,2,0,Normal
8,12,80,0,ff,4,80,8,28,Normal
8,f7,7f,0,0,62,7f,8,b7,Normal
8,10,80,0,ff,1f,80,0a,30,Normal
8,0,80,0,0,4f,7f,0a,16,Normal
8,0,0,0,0,10,27,2a,cb,Normal
8,1c,26,26,30,8,8f,6f,8,Normal
8,10,80,0,ff,21,80,0b,0c,Normal
8,0,80,0,0,39,7f,0b,46,Normal
8,0,0,0,0,12,25,2b,4d,Normal
8,9,80,0,0,2b,7f,0c,81,Normal
8,0,0,0,0,14,21,2c,36,Normal
8,5,26,24,0a,26,21,0,6f,Normal
8,1c,26,26,30,8,8f,71,29,Normal
8,13,80,0,ff,4,80,0d,1c,Normal
8,5,80,0,0,2e,7f,0d,ae,Normal
8,0,0,0,0,16,0,2d,11,Normal
8,10,80,0,ff,0e,80,0e,d3,Normal
8,f2,7f,0,0,32,7f,0e,b5,Normal
8,0f,80,0,ff,1b,80,0f,ba,Normal
8,f7,7f,0,0,31,7f,0f,10,Normal
8,0d,80,0,ff,0f,80,0,a5,Normal
8,0,80,0,0,45,7f,1,d6,Normal
8,10,80,0,ff,eb,7f,2,17,Normal
8,0e,80,0,0,54,7f,2,67,Normal
8,40,ba,7f,14,11,20,0,14,Normal
8,15,80,0,ff,fc,7f,3,ac,Normal
8,17,80,0,0,4b,7f,3,d2,Normal
8,1c,26,26,30,8,8f,6f,19,Normal
8,17,80,0,ff,16,80,4,9b,Normal
8,9,80,0,0,2e,7f,4,e0,Normal
8,1c,26,26,30,8,8f,6f,2a,Normal
8,12,80,0,ff,19,80,5,34,Normal
8,ee,7f,0,0,25,7f,5,ea,Normal
8,d8,63,0,85,0,0,0,0,Normal
8,e5,7f,0,0,30,7f,6,69,Normal
8,0a,80,0,ff,0f,80,7,78,Normal
8,fb,7f,0,0,39,7f,7,4f,Normal
8,1c,26,26,30,8,8f,6f,19,Normal
8,10,80,0,ff,1d,80,8,9,Normal
8,12,80,0,0,42,7f,8,aa,Normal
8,0,0,0,0,12,33,28,6b,Normal
8,16,80,0,ff,1f,80,9,c4,Normal
8,0,0,0,0,14,20,29,13,Normal
8,5,26,38,0a,26,21,0,6f,Normal
8,1a,80,0,ff,0f,80,0a,40,Normal
8,12,80,0,0,56,7f,0a,8e,Normal
8,0,0,0,0,16,20,2a,37,Normal
8,5,25,38,0a,25,21,0,6f,Normal
8,86,ba,7f,14,11,20,0,14,Normal
8,1d,80,0,ff,0c,80,0b,5f,Normal
8,9,80,0,0,5a,7f,0b,15,Normal
8,0,0,0,0,18,24,2b,0e,Normal
8,5,26,38,0a,26,22,0,6f,Normal
8,60,83,38,0a,0,1f,2,0,Normal
8,17,80,0,ff,1d,80,0c,f3,Normal
8,e9,7f,0,0,4d,7f,0c,cd,Normal
8,0,0,0,0,1a,0,2c,6,Normal
8,11,80,0,ff,26,80,0d,95,Normal
8,e0,7f,0,0,42,7f,0d,d9,Normal
8,0e,80,0,ff,1c,80,0e,70,Normal
8,f7,7f,0,0,3f,7f,0e,4,Normal
8,5,26,30,0a,26,22,0,6f,Normal
8,10,80,0,ff,12,80,0f,dc,Normal
8,9,80,0,0,40,7f,0f,76,Normal
8,12,80,0,0,39,7f,0,8a,Normal
8,5,20,94,68,75,0,0,ac,Normal
8,1a,80,0,ff,1d,80,1,94,Normal
8,12,80,0,0,2c,7f,1,6,Normal
8,1b,80,0,ff,19,80,2,e8,Normal
8,5,80,0,0,1c,7f,2,3e,Normal
8,dc,ba,7f,14,11,20,0,14,Normal
8,17,80,0,ff,8,80,4,8a,Normal
8,f2,7f,0,0,31,7f,4,eb,Normal
8,0,40,60,ff,7e,9b,9,0,Normal
8,11,80,0,ff,14,80,5,56,Normal
8,e9,7f,0,0,3d,7f,5,70,Normal
8,0e,80,0,ff,29,80,6,39,Normal
8,f7,7f,0,0,3b,7f,6,ea,Normal
8,13,80,0,ff,28,80,7,f4,Normal
8,1b,80,0,0,37,7f,7,5f,Normal
8,0,40,60,ff,7e,9c,9,0,Normal
8,ff,0,0,0,ff,9c,9,0,Normal
8,1b,80,0,ff,1b,80,8,39,Normal
8,20,80,0,0,2d,7f,8,10,Normal
8,0,40,60,ff,7e,9d,9,0,Normal
8,ff,0,0,0,ff,9d,9,0,Normal
8,19,80,0,ff,15,80,9,97,Normal
8,fb,7f,0,0,27,7f,9,f8,Normal
8,ff,0,0,0,ff,9e,9,0,Normal
8,10,80,0,ff,21,80,0a,11,Normal
8,db,7f,0,0,2b,7f,0a,ba,Normal
8,0c,ba,7f,14,11,20,0,14,Normal
8,0a,80,0,ff,2a,80,0b,5d,Normal
8,e5,7f,0,0,37,7f,0b,62,Normal
8,1c,26,26,30,8,8f,71,18,Normal
8,5,26,44,0a,26,22,0,6f,Normal
8,8,80,0,ff,22,80,0c,b8,Normal
8,fb,7f,0,0,48,7f,0c,47,Normal
8,0a,80,0,ff,1b,80,0d,b4,Normal
8,9,80,0,0,4f,7f,0d,ca,Normal
8,5,25,44,0a,25,22,0,6f,Normal
8,0,40,60,ff,7e,a0,9,0,Normal
8,ff,0,0,0,ff,a0,9,0,Normal
8,0e,80,0,ff,21,80,0e,dd,Normal
8,9,80,0,0,4e,7f,0e,62,Normal
8,0,40,60,ff,7e,a3,9,0,Normal
8,ff,0,0,0,ff,a3,9,0,Normal
8,0e,80,0,0,45,7f,0f,71,Normal
8,0,0,0,0,12,0,2f,2d,Normal
8,60,83,44,0a,0,1f,2,0,Normal
8,12,80,0,ff,22,80,0,f5,Normal
8,0,80,0,0,37,7f,0,80,Normal
8,5,25,38,0a,25,22,0,6f,Normal
8,0,40,60,ff,7e,a1,9,0,Normal
8,ff,0,0,0,ff,a1,9,0,Normal
8,10,80,0,ff,1b,80,1,f9,Normal
8,10,80,0,ff,1b,80,2,de,Normal
8,0,80,0,0,41,7f,2,f7,Normal
8,0,40,60,ff,7e,a2,9,0,Normal
8,ff,0,0,0,ff,a2,9,0,Normal
8,11,80,0,ff,23,80,3,ba,Normal
8,5,80,0,0,4c,7f,3,5b,Normal
8,0,40,60,ff,7e,a4,9,0,Normal
8,ff,0,0,0,ff,a4,9,0,Normal
8,13,80,0,ff,22,80,4,dc,Normal
8,9,80,0,0,53,7f,4,2d,Normal
8,16,80,0,ff,0e,80,5,cf,Normal
8,9,80,0,0,59,7f,5,3f,Normal
8,17,80,0,ff,ff,7f,6,f3,Normal
8,5,80,0,0,55,7f,6,a9,Normal
8,1c,25,26,30,8,8f,71,8,Normal
8,19,80,0,ff,0f,80,7,26,Normal
8,9,80,0,0,42,7f,7,9d,Normal
8,1c,25,26,30,8,8f,71,19,Normal
8,1b,80,0,ff,33,80,8,5,Normal
8,9,80,0,0,23,7f,8,f9,Normal
8,0,40,60,ff,7e,a5,9,0,Normal
8,ff,0,0,0,ff,a5,9,0,Normal
8,1a,80,0,ff,3c,80,9,c3,Normal
8,fb,7f,0,0,13,7f,9,d6,Normal
8,1c,25,26,30,8,8f,71,3b,Normal
8,fb,7f,0,0,18,7f,0a,71,Normal
8,0,0,0,0,12,0f,2a,e7,Normal
8,18,80,0,ff,6,80,0b,64,Normal
8,0,0,0,0,14,13,2b,3c,Normal
8,0,40,60,ff,7e,a6,9,0,Normal
8,ff,0,0,0,ff,a6,9,0,Normal
8,16,80,0,ff,4,80,0c,35,Normal
8,0,0,0,0,16,3,2c,d8,Normal
8,0,40,60,ff,7e,a9,9,0,Normal
8,ff,0,0,0,ff,a9,9,0,Normal
8,13,80,0,ff,13,80,0d,8e,Normal
8,f7,7f,0,0,3d,7f,0d,20,Normal
8,0,0,0,0,18,8,2d,42,Normal
8,0,40,60,ff,7e,a7,9,0,Normal
8,ff,0,0,0,ff,a7,9,0,Normal
8,11,80,0,ff,19,80,0e,1c,Normal
8,0,0,0,0,1a,33,2e,29,Normal
8,5,25,48,0a,25,22,0,6f,Normal
8,10,80,0,ff,10,80,0f,df,Normal
8,0,0,0,0,1c,7,2f,dd,Normal
8,13,80,0,ff,15,80,0,0a,Normal
8,0,0,0,0,1e,0d,20,a7,Normal
8,16,80,0,ff,28,80,1,8e,Normal
8,16,80,0,ff,33,80,2,31,Normal
8,0,80,0,0,3e,7f,2,39,Normal
8,0,40,60,ff,7e,a8,9,0,Normal
8,ff,0,0,0,ff,a8,9,0,Normal
8,15,80,0,ff,24,80,3,59,Normal
8,fb,7f,0,0,41,7f,3,7f,Normal
8,5,25,3c,0a,25,22,0,6f,Normal
8,60,83,3c,0a,0,1f,2,0,Normal
8,16,80,0,ff,7,80,4,51,Normal
8,13,80,0,ff,1,80,5,7d,Normal
8,9,80,0,ff,5,80,6,8d,Normal
8,db,7f,0,0,30,7f,6,be,Normal
8,2,80,0,ff,1,80,7,a3,Normal
8,e5,7f,0,0,2b,7f,7,ec,Normal
8,5,25,40,0a,25,22,0,6f,Normal
8,5,80,0,ff,fb,7f,8,50,Normal
8,9,80,0,0,33,7f,8,e1,Normal
8,1c,25,26,30,8,8f,6e,2c,Normal
8,9,80,0,ff,6,80,9,ba,Normal
8,0b,80,0,ff,21,80,0a,9d,Normal
8,0,40,60,ff,7e,aa,9,0,Normal
8,ff,0,0,0,ff,aa,9,0,Normal
8,10,80,0,ff,28,80,0b,8f,Normal
8,12,80,0,0,2c,7f,0b,d4,Normal
8,1b,80,0,ff,10,80,0c,cd,Normal
8,29,80,0,0,2b,7f,0c,ee,Normal
8,0,0,0,0,12,23,2c,ab,Normal
8,21,80,0,ff,f4,7f,0d,b9,Normal
8,1b,80,0,0,2d,7f,0d,9a,Normal
8,1f,80,0,ff,eb,7f,0e,d7,Normal
8,0,0,0,0,16,22,2e,db,Normal
8,1a,80,0,ff,f3,7f,0f,ea,Normal
8,ee,7f,0,0,2b,7f,0f,31,Normal
8,0,0,0,0,18,27,2f,ae,Normal
8,16,80,0,ff,fb,7f,0,e6,Normal
8,0,0,0,0,1a,0,20,9a,Normal
8,0d,80,0,ff,0d,80,2,9c,Normal
8,ee,7f,0,0,52,7f,2,7b,Normal
8,0a,80,0,ff,2a,80,3,b5,Normal
8,f7,7f,0,0,46,7f,3,4e,Normal
8,0a,80,0,ff,3e,80,4,f8,Normal
8,0,80,0,0,2a,7f,4,69,Normal
8,7,80,0,ff,34,80,5,0c,Normal
8,f2,7f,0,0,1a,7f,5,46,Normal
8,3,80,0,ff,1a,80,6,7b,Normal
8,f2,7f,0,0,1d,7f,6,eb,Normal
8,7,80,0,ff,14,80,7,6,Normal
8,0e,80,0,0,29,7f,7,c3,Normal
8,60,83,30,0a,0,1f,2,0,Normal
8,0f,80,0,ff,20,80,8,41,Normal
8,16,80,0,ff,1b,80,9,c2,Normal
8,1b,80,0,0,3b,7f,9,f3,Normal
8,1c,26,26,30,8,8f,71,3a,Normal
8,0e,80,0,0,4b,7f,0a,11,Normal
8,5,26,40,0a,26,21,0,6f,Normal
8,19,80,0,ff,f4,7f,0b,f3,Normal
8,0,80,0,0,4f,7f,0b,0b,Normal
8,5,25,40,0a,25,21,0,6f,Normal
8,17,80,0,ff,8,80,0c,62,Normal
8,0,0,0,0,14,20,2c,7a,Normal
8,0,40,60,ff,7e,9f,9,0,Normal
8,ff,0,0,0,ff,9f,9,0,Normal
8,13,80,0,ff,19,80,0d,81,Normal
8,f2,7f,0,0,30,7f,0d,91,Normal
8,0,0,0,0,16,20,2d,64,Normal
8,11,80,0,ff,15,80,0e,16,Normal
8,f7,7f,0,0,26,7f,0e,9f,Normal
8,0,0,0,0,18,0,2e,3f,Normal
8,0f,80,0,ff,7,80,0f,a8,Normal
8,5,20,84,68,75,0,0,bc,Normal
8,0f,80,0,ff,0d,80,0,1c,Normal
8,13,80,0,ff,27,80,1,3c,Normal
8,12,80,0,0,53,7f,1,c8,Normal
8,17,80,0,ff,37,80,2,6a,Normal
8,0e,80,0,0,51,7f,2,ee,Normal
8,16,80,0,ff,27,80,3,32,Normal
8,fb,7f,0,0,46,7f,3,f5,Normal
8,10,80,0,ff,9,80,4,8b,Normal
8,8,80,0,ff,4,80,5,78,Normal
8,db,7f,0,0,41,7f,5,5e,Normal
8,2,80,0,ff,0d,80,6,b4,Normal
8,ee,7f,0,0,3e,7f,6,55,Normal
8,6,80,0,ff,0d,80,7,c0,Normal
8,0e,80,0,0,3a,7f,7,57,Normal
8,1b,80,0,0,38,7f,8,62,Normal
8,0,0,0,0,14,21,28,42,Normal
8,12,80,0,ff,6,80,9,36,Normal
8,17,80,0,0,37,7f,9,42,Normal
8,0,0,0,0,16,0,29,65,Normal
8,0,80,0,0,32,7f,0a,db,Normal
8,1c,25,26,30,8,8f,71,8,Normal
8,0f,80,0,ff,10,80,0b,4e,Normal
8,f2,7f,0,0,2c,7f,0b,cd,Normal
8,0d,80,0,ff,fe,7f,0c,7f,Normal
8,f7,7f,0,0,30,7f,0c,b8,Normal
8,0e,80,0,ff,f0,7f,0d,8c,Normal
8,17,80,0,0,45,7f,0e,5a,Normal
8,19,80,0,ff,0d,80,0f,cd,Normal
8,17,80,0,0,40,7f,0f,ce,Normal
8,1a,80,0,ff,15,80,0,85,Normal
8,19,80,0,ff,6,80,1,eb,Normal
8,15,80,0,ff,fa,7f,2,b4,Normal
8,ee,7f,0,0,1c,7f,2,12,Normal
8,11,80,0,ff,5,80,3,8f,Normal
8,ee,7f,0,0,1e,7f,3,0c,Normal
8,0f,80,0,ff,1b,80,4,75,Normal
8,f7,7f,0,0,1d,7f,4,e5,Normal
8,0,0,0,0,12,33,24,f7,Normal
8,0e,80,0,ff,1b,80,5,35,Normal
8,fb,7f,0,0,23,7f,5,62,Normal
8,0,0,0,0,14,20,25,8f,Normal
8,0d,80,0,ff,0b,80,6,ed,Normal
8,0,0,0,0,16,20,26,ab,Normal
8,1c,25,26,30,8,8f,71,8,Normal
8,0b,80,0,ff,5,80,7,2a,Normal
8,fb,7f,0,0,4f,7f,7,2,Normal
8,0,0,0,0,18,24,27,92,Normal
8,1c,25,26,30,8,8f,71,19,Normal
8,0e,80,0,ff,10,80,8,34,Normal
8,9,80,0,0,55,7f,8,b4,Normal
8,0,0,0,0,1a,0,28,72,Normal
8,11,80,0,ff,14,80,9,ca,Normal
8,15,80,0,ff,9,80,0a,19,Normal
8,5,25,30,0a,25,22,0,6f,Normal
8,15,80,0,ff,8,80,0b,8b,Normal
8,0,80,0,0,2d,7f,0b,58,Normal
8,0d,80,0,ff,1d,80,0c,22,Normal
8,e5,7f,0,0,2e,7f,0c,aa,Normal
8,7,80,0,ff,2c,80,0d,f0,Normal
8,e5,7f,0,0,31,7f,0d,29,Normal
8,6,80,0,ff,1b,80,0e,28,Normal
8,0,80,0,0,37,7f,0e,26,Normal
8,ff,0,0,0,ff,9a,9,0,Normal
8,0a,80,0,ff,1,80,0f,99,Normal
8,17,80,0,0,42,7f,0f,cd,Normal
8,10,80,0,ff,fe,7f,0,bc,Normal
8,17,80,0,0,4e,7f,0,7c,Normal
8,5,80,0,0,47,7f,1,e1,Normal
8,1c,25,26,30,8,8f,71,3b,Normal
8,0f,80,0,ff,20,80,2,93,Normal
8,f7,7f,0,0,30,7f,2,1e,Normal
8,0e,80,0,ff,13,80,3,77,Normal
8,fb,7f,0,0,22,7f,3,a3,Normal
8,5,25,34,0a,25,22,0,6f,Normal
8,0,40,60,ff,7e,98,9,0,Normal
8,ff,0,0,0,ff,98,9,0,Normal
8,0f,80,0,ff,0,80,4,ed,Normal
8,5,80,0,0,22,7f,4,51,Normal
8,5,26,34,0a,26,22,0,6f,Normal
8,11,80,0,ff,9,80,5,cb,Normal
8,15,80,0,ff,27,80,6,bc,Normal
8,0e,80,0,0,3b,7f,6,c5,Normal
8,18,80,0,ff,29,80,7,4e,Normal
8,0e,80,0,0,42,7f,7,13,Normal
8,1b,80,0,ff,10,80,8,b9,Normal
8,0e,80,0,0,4b,7f,8,2b,Normal
8,1d,80,0,ff,fe,7f,9,af,Normal
8,9,80,0,0,4e,7f,9,31,Normal
8,19,80,0,ff,0,80,0a,21,Normal
8,f2,7f,0,0,40,7f,0a,8a,Normal
8,15,80,0,ff,0f,80,0b,1,Normal
8,ee,7f,0,0,2d,7f,0b,40,Normal
8,13,80,0,ff,1a,80,0c,10,Normal
8,0,80,0,0,24,7f,0c,88,Normal
8,5,25,2c,0a,25,22,0,6f,Normal
8,16,80,0,ff,1b,80,0d,b6,Normal
8,0e,80,0,0,27,7f,0d,18,Normal
8,5,26,2c,0a,26,22,0,6f,Normal
8,18,80,0,ff,27,80,0e,b2,Normal
8,5,80,0,0,30,7f,0e,98,Normal
8,17,80,0,ff,2a,80,0f,76,Normal
8,5,26,2c,0a,26,21,0,6f,Normal
8,15,80,0,ff,1a,80,0,5f,Normal
8,fb,7f,0,0,46,7f,0,d2,Normal
8,13,80,0,ff,9,80,1,5,Normal
8,fb,7f,0,0,53,7f,1,5e,Normal
8,fb,7f,0,0,5f,7f,2,73,Normal
8,13,80,0,ff,fa,7f,3,7a,Normal
8,5,80,0,0,56,7f,3,4c,Normal
8,60,83,34,0a,0,1f,2,0,Normal
8,7e,88,0,0,25,0,0,0,Normal
8,18,80,0,ff,18,80,4,ce,Normal
8,0e,80,0,0,36,7f,4,7a,Normal
8,1f,80,0,ff,0f,80,0c,3a,Normal
8,0,0,0,0,1e,0d,2c,3b,Normal
8,21,80,0,ff,1c,80,0d,64,Normal
8,0e,80,0,0,5f,7f,0d,5c,Normal
8,20,80,0,ff,19,80,0e,97,Normal
8,5,26,24,0a,26,21,0,6f,Normal
8,e9,7f,0,0,25,7f,6,43,Normal
8,15,80,0,ff,f7,7f,8,e3,Normal
8,20,80,0,0,24,7f,8,93,Normal
8,0,0,0,0,2,27,2b,cd,Normal
8,0,0,0,0,8,28,2e,8,Normal
8,5,26,28,0a,26,22,0,6f,Normal
8,0,0,0,0,16,22,25,14,Normal
8,0,0,0,0,18,27,26,5b,Normal
8,5,26,28,0a,26,22,0,6f,Normal
8,0,0,0,0,1a,0,27,c9,Normal
8,1b,80,0,0,44,7f,8,20,Normal
8,1d,80,0,ff,39,80,9,c4,Normal
8,17,80,0,0,42,7f,9,83,Normal
8,1d,26,26,30,8,8f,6f,3a,Normal
8,1d,80,0,ff,34,80,0a,66,Normal
8,0,80,0,0,3d,7f,0a,5d,Normal
8,f2,7f,0,0,2b,7f,0c,14,Normal
8,0,0,0,0,6,26,2c,d4,Normal
8,db,7f,0,0,32,7f,0e,55,Normal
8,5,26,20,0a,26,22,0,6f,Normal
8,7,80,0,ff,0,80,0,4b,Normal
8,0e,80,0,0,62,7f,0,70,Normal
8,0,0,0,0,0e,23,20,25,Normal
8,22,80,0,ff,10,80,4,7c,Normal
8,1d,26,26,30,8,8f,6e,19,Normal
8,16,80,8,ff,0e,80,7,82,Normal
8,12,80,0,0,3e,7f,0b,cf,Normal
8,0,0,0,0,10,27,2b,d6,Normal
8,60,83,28,0a,0,1f,2,0,Normal
8,0b,80,8,ff,1c,80,1,88,Normal
8,10,0,0,0,4,0,22,8,Normal
8,0f,80,8,ff,43,80,0a,d0,Normal
8,10,0,0,0,10,28,2a,d1,Normal
8,10,0,0,0,4,20,21,5a,Normal
8,15,80,8,ff,5,80,4,c2,Normal
8,0e,80,0,0,32,7f,4,7c,Normal
8,1b,80,8,ff,f7,7f,7,2e,Normal
8,17,80,0,0,44,7f,8,9b,Normal
8,1f,80,8,ff,13,80,0d,42,Normal
8,10,0,0,0,4,3,2d,67,Normal
8,18,80,8,ff,29,80,7,39,Normal
8,f2,7f,0,0,46,7f,7,0e,Normal
8,10,0,0,0,18,24,27,2b,Normal
8,10,0,0,0,0a,0,2d,ba,Normal
8,5,20,4,68,75,0,0,3c,Normal
8,17,80,0,ff,19,80,9,9c,Normal
8,0,0,0,0,6,33,29,68,Normal
8,fb,7f,0,0,39,7f,0b,d3,Normal
8,0,0,0,0,0a,21,2b,74,Normal
8,16,80,0,ff,1b,80,0f,8c,Normal
8,0,0,0,0,12,33,2f,38,Normal
8,0c,b9,7f,14,11,20,0,14,Normal
8,f7,7f,0,0,31,7f,0,ab,Normal
8,40,b9,7f,14,11,20,0,14,Normal
8,11,80,0,ff,19,80,3,9d,Normal
8,12,80,0,ff,14,80,6,96,Normal
8,0e,80,0,0,44,7f,6,0b,Normal
8,0,0,0,0,6,20,26,b3,Normal
8,5,26,40,0a,26,22,0,6f,Normal
8,18,80,0,ff,0b,80,8,c6,Normal
8,86,b9,7f,14,11,20,0,14,Normal
8,5,25,3c,0a,25,22,0,6f,Normal
8,13,80,0,ff,13,80,0d,8e,Normal
8,ee,7f,0,0,3b,7f,0d,13,Normal
8,fb,7f,0,0,34,7f,1,84,Normal
8,0,0,0,0,8,21,21,a5,Normal
